platform,url,tier,category,best_for,profile_recommendation,notes
LinkedIn Services,https://www.linkedin.com/services/,1,network_services,"referrals, inbound service requests, authority",individual,"Use service pages and posts; do not automate scraping."
Malt Germany,https://www.malt.de/,1,dach_marketplace,"AI, IT, consulting, UX, supply chain",individual,"Strong DACH corporate marketplace."
freelancermap,https://www.freelancermap.de/,1,dach_marketplace,"engineering, consulting, development",individual,"Large DACH freelance project supply."
GULP / Randstad Professional,https://www.gulp.de/,1,recruiter_intermediary,"IT, engineering, life science",individual_company,"Upload CVs and talk to consultants."
Hays Germany,https://www.hays.de/,1,recruiter_intermediary,"contracting, medtech, machinery, IT consulting",individual_company,"Strong enterprise access."
Etengo,https://www.etengo.de/,1,recruiter_intermediary,"digital IT, systems engineering, hardware, OT",individual,"Relevant public project examples found."
FERCHAU,https://www.ferchau.com/,1,engineering_intermediary,"engineering, IT, aerospace, defense",individual_company,"Freelancer and customer portals."
freelance.de,https://www.freelance.de/,1,dach_marketplace,"DACH projects and profiles",individual,"Use search agents and verified references."
Cad Crowd,https://www.cadcrowd.com/,1,specialist_engineering,"CAD, product design, PCB, RF, medical devices",company_individual,"Good fit for hardware/product packages."
Kolabtree,https://www.kolabtree.com/,1,scientific_medical,"medical device consulting, EU MDR, scientific writing",individual_company,"Good fit for Trebsijg medical documentation."
Upwork,https://www.upwork.com/,2,global_marketplace,"AI, architecture, niche engineering",individual_agency,"Use high-rate niche bids only."
Toptal,https://www.toptal.com/,2,premium_network,"software architecture, AI, product, consulting",individual,"High screening; apply after profile polish."
Expertlead,https://www.expertlead.com/,2,premium_network,"tech experts",individual,"Manual research/onboarding needed."
Worksome,https://www.worksome.com/,2,fms_enterprise,"enterprise external workforce",individual,"More FMS than open marketplace."
Junico,https://www.junico.de/,2,german_vetted_marketplace,"AI, consulting, project management, digital",individual,"Hardware fit lower, but AI/docs/project fit useful."
XING,https://www.xing.com/,2,german_network,"German recruiters and job visibility",individual,"Useful for recruiter outreach."
StepStone,https://www.stepstone.de/,2,job_board,"direct employer discovery",individual,"Mostly employment; use alerts and direct outreach."
Indeed Germany,https://de.indeed.com/,2,job_board,"direct employer discovery",individual,"Broad search; high noise."
Jobware,https://www.jobware.de/,2,job_board,"engineering and IT jobs",individual,"Use candidate network and alerts."
jobvector,https://www.jobvector.de/,2,life_science_job_board,"life science, medtech, engineering",individual,"Good for medical/life-science employer discovery."
Freelancer.com,https://www.freelancer.com/,3,global_marketplace,"broad fixed-price gigs",individual_company,"High noise and rate pressure."
Guru,https://www.guru.com/,3,global_marketplace,"agency-style services",company,"Use only packaged offers."
PeoplePerHour,https://www.peopleperhour.com/,3,global_marketplace,"UK/global digital services",individual,"Low priority for premium engineering."
contractor.de,https://www.contractor.de/,3,it_intermediary,"Munich IT project matching",company,"Buyer-facing; useful relationship target."
